Protein_Domain(Queried),Protein_Domain_name,count,SystematicName,Disease,Genetic_Interaction,GO_CC,GO_MF,GO_BP,Pathway,Mutant_Phenotype,Physical_Interaction,Transcriptional_Regulation,Protein_Domain
PF00425,chorismate binding enzyme,2,"['YER090W', 'YNR033W']",,,,,,,,,,"['Anthranilate synthase component I, N terminal region']"
PF00428,60s Acidic ribosomal protein,5,"['YDL081C', 'YDL130W', 'YDR382W', 'YLR340W', 'YOL039W']",,['RPP0'],"['cytosolic large ribosomal subunit', 'ribosome']","['protein kinase activator activity', 'ribonucleoprotein complex binding', 'structural constituent of ribosome']","['activation of protein kinase activity', 'cytoplasmic translation', 'cytoplasmic translational elongation', 'positive regulation of protein kinase activity', 'translational elongation']",,['fermentative growth: decreased rate'],"['SPT7', 'SUS1', 'TAF5', 'SGF29', 'PAT1', 'RPP1A', 'RPP1B', 'TAF12', 'RPP2B', 'SGF73', 'TAF6', 'GCN5', 'RTT107', 'YLR287C', 'RPP0', 'RKR1', 'RLP7', 'RPP2A', 'SPT20']","['HSF1', 'CST6', 'IFH1', 'RAP1', 'GCR1']",
PF00432,Prenyltransferase and squalene oxidase repeat,3,"['YDL090C', 'YGL155W', 'YPR176C']",,,,"['prenyltransferase activity', 'protein prenyltransferase activity']","['protein geranylgeranylation', 'protein prenylation']",,,,,
PF00433,Protein kinase C terminal domain,7,"['YBL105C', 'YBR028C', 'YGR092W', 'YHR205W', 'YKL126W', 'YMR104C', 'YPR111W']",,,,"['ATP binding', 'kinase activity', 'nucleotide binding', 'protein kinase activity', 'protein serine kinase activity', 'protein serine/threonine kinase activity', 'protein threonine kinase activity', 'transferase activity']","['intracellular signal transduction', 'peptidyl-serine phosphorylation', 'phosphorylation', 'protein phosphorylation', 'regulation of fungal-type cell wall organization']",,,"['PKH1', 'BUD16']",,['Protein kinase domain']
PF00436,Single-strand binding protein family,1,['YCR028C-A'],,,,,,,,,,
PF00438,"S-adenosylmethionine synthetase, N-terminal domain",2,"['YDR502C', 'YLR180W']",,,,['methionine adenosyltransferase activity'],"['S-adenosylmethionine biosynthetic process', 'methionine metabolic process', 'one-carbon metabolic process']","['S-adenosylmethionine biosynthesis', 'S-adenosylmethionine cycle']",,,,"['S-adenosylmethionine synthetase, central domain', 'S-adenosylmethionine synthetase, C-terminal domain']"
PF00439,Bromodomain,10,"['YBR081C', 'YDL070W', 'YGR056W', 'YGR252W', 'YIL126W', 'YKR008W', 'YLR033W', 'YLR357W', 'YLR399C', 'YOR290C']",,"['HHT1', 'NHP6B', 'ISW1', 'TUP1', 'HDA2', 'EAF1', 'ADA2', 'EPL1', 'IOC3', 'SWC4', 'GCN5', 'EAF6', 'RSC2', 'TUB1', 'NPL6', 'TAF9', 'HDA1', 'HHF2', 'HHT2', 'SIN3', 'HTZ1', 'SPT20', 'ESA1', 'SNF2', 'HOS3', 'PLC1', 'NHP6A', 'HPA2']","['RSC complex', 'nucleus']","['DNA-dependent ATPase activity', 'TFIID-class transcription factor binding', 'chromatin binding', 'histone binding', 'lysine-acetylated histone binding']","['chromatin organization', 'chromatin remodeling', 'double-strand break repair', 'negative regulation of heterochromatin assembly', 'nucleosome disassembly', 'sporulation resulting in formation of a cellular spore', 'transcription elongation from RNA polymerase II promoter']",,,"['HTA2', 'HHF1', 'HHT1', 'HSP26', 'HTL1', 'RSC6', 'RAD59', 'HTB1', 'HTA1', 'RSC3', 'GCN4', 'SPT15', 'RSC8', 'HSF1', 'RCK1', 'SPT16', 'RSC1', 'YTA7', 'RTT102', 'STH1', 'ASF1', 'SPT10', 'RSC4', 'RSC58', 'RFX1', 'SFH1', 'RSC2', 'RSC9', 'ARP9', 'NPL6', 'MRE11', 'HHF2', 'HHT2', 'MOT1', 'ARP7', 'RSC30']",,"['Snf2-ATP coupling, chromatin remodelling complex', 'Bromodomain extra-terminal - transcription regulation']"
PF00443,Ubiquitin carboxyl-terminal hydrolase,17,"['YBL067C', 'YBR058C', 'YDL122W', 'YDR069C', 'YER098W', 'YER144C', 'YER151C', 'YFR005C', 'YFR010W', 'YIL156W', 'YJL197W', 'YKR098C', 'YMR223W', 'YMR304W', 'YNL186W', 'YOR124C', 'YPL072W']",,['DOA1'],['cytosol'],"['cysteine-type endopeptidase activity', 'cysteine-type peptidase activity', 'hydrolase activity', 'peptidase activity', 'thiol-dependent ubiquitin-specific protease activity']","['free ubiquitin chain depolymerization', 'histone deubiquitination', 'protein deubiquitination', 'proteolysis', 'ubiquitin-dependent protein catabolic process']",,,"['PDS1', 'UBI4']",,['Zn-finger in ubiquitin-hydrolases and other protein']
PF00444,Ribosomal protein L36,1,['YPL183W-A'],,,,,,,,,,
PF00445,Ribonuclease T2 family,1,['YPL123C'],,,,,,,,,,
PF00447,HSF-type DNA-binding,5,"['YGL073W', 'YGR249W', 'YHR206W', 'YJR147W', 'YOR140W']",,"['MEP1', 'MEP2']",,"['DNA binding', 'RNA polymerase II core promoter proximal region sequence-specific DNA binding', 'sequence-specific DNA binding', 'transcription factor activity, sequence-specific DNA binding']","['regulation of transcription from RNA polymerase II promoter', 'regulation of transcription, DNA-templated']",,,,,
PF00448,"SRP54-type protein, GTPase domain",2,"['YDR292C', 'YPR088C']",,,,,['SRP-dependent cotranslational protein targeting to membrane'],,,,,"['SRP54-type protein, helical bundle domain']"
PF00450,Serine carboxypeptidase,3,"['YBR139W', 'YGL203C', 'YMR297W']",,,,"['carboxypeptidase activity', 'peptidase activity', 'serine-type carboxypeptidase activity']","['phytochelatin biosynthetic process', 'proteolysis', 'zymogen activation']",,,,,
PF00454,Phosphatidylinositol 3- and 4-kinase,9,"['YBL088C', 'YBR136W', 'YHR099W', 'YJL100W', 'YJR066W', 'YKL203C', 'YLR240W', 'YLR305C', 'YNL267W']",['ataxia telangiectasia'],"['VPS15', 'DNA2']","['TORC1 complex', 'extrinsic component of cytoplasmic side of plasma membrane']","['1-phosphatidylinositol 4-kinase activity', 'ATP binding', 'kinase activity', 'nucleotide binding', 'phosphatidylinositol kinase activity', 'protein kinase activity', 'protein serine kinase activity', 'protein serine/threonine kinase activity', 'protein threonine kinase activity', 'transferase activity']","['DNA damage induced protein phosphorylation', 'TORC1 signaling', 'histone phosphorylation', 'microlipophagy', 'phosphatidylinositol phosphorylation', 'phosphatidylinositol-mediated signaling', 'phosphorylation', 'regulation of snRNA pseudouridine synthesis']",['phosphatidylinositol phosphate biosynthesis'],['protein/peptide modification: decreased'],['LAS17'],,"['Phosphoinositide 3-kinase family, accessory domain (PIK domain)', 'FAT domain', 'FATC domain', 'FKBP12-rapamycin binding domain', 'Domain of unknown function (DUF3385)']"
PF00456,"Transketolase, thiamine diphosphate binding domain",2,"['YBR117C', 'YPR074C']",,,,['transketolase activity'],,['non-oxidative branch of the pentose phosphate pathway'],,,,"['Transketolase, pyrimidine binding domain', 'Transketolase, C-terminal domain']"
PF00459,Inositol monophosphatase family,3,"['YDR287W', 'YHR046C', 'YOL064C']",,,,"['inositol monophosphate 1-phosphatase activity', 'inositol monophosphate 3-phosphatase activity', 'inositol monophosphate 4-phosphatase activity', 'inositol monophosphate phosphatase activity']","['inositol biosynthetic process', 'inositol metabolic process', 'inositol phosphate dephosphorylation', 'phosphatidylinositol phosphorylation']",['<i>myo</i>-inositol biosynthesis'],,,,
PF00462,Glutaredoxin,8,"['YBR014C', 'YCL035C', 'YDL010W', 'YDR098C', 'YDR513W', 'YER174C', 'YLR364W', 'YPL059W']",,"['GRX7', 'GRX1', 'GRX2', 'GRX6']",['Golgi lumen'],"['2 iron, 2 sulfur cluster binding', 'disulfide oxidoreductase activity', 'glutathione disulfide oxidoreductase activity', 'glutathione oxidoreductase activity', 'glutathione peroxidase activity', 'glutathione transferase activity', 'glutathione-disulfide reductase activity', 'iron-sulfur cluster binding']","['cellular oxidant detoxification', 'cellular response to oxidative stress', 'negative regulation of transcription regulatory region DNA binding', 'positive regulation of histone deacetylation']",,,,,
PF00463,Isocitrate lyase family,2,"['YER065C', 'YPR006C']",,,,"['isocitrate lyase activity', 'methylisocitrate lyase activity']",['carboxylic acid metabolic process'],,,,,
PF00464,Serine hydroxymethyltransferase,2,"['YBR263W', 'YLR058C']",,['GLY1'],,"['cobalt ion binding', 'glycine hydroxymethyltransferase activity', 'serine binding']","['L-serine catabolic process', 'folic acid metabolic process', 'glycine biosynthetic process from serine', 'one-carbon metabolic process', 'tetrahydrofolate interconversion', 'tetrahydrofolate metabolic process']","['folate biosynthesis', 'folate interconversions', 'folate polyglutamylation', 'folate transformations', 'glycine biosynthesis from serine', 'serine biosynthesis from glyoxylate']",,,,
PF00465,Iron-containing alcohol dehydrogenase,1,['YGL256W'],,,,,,,,,,
PF00466,Ribosomal protein L10,3,"['YDL202W', 'YKL009W', 'YLR340W']",,,,,,,,,,['Insertion domain in 60S ribosomal protein L10P']
PF00467,KOW motif,4,"['YGR034W', 'YHR203C', 'YJR145C', 'YLR344W']",,,['ribosome'],['structural constituent of ribosome'],"['cytoplasmic translation', 'translation']",,,,"['HSF1', 'CST6', 'IFH1', 'RAP1', 'GCR1']","['Ribosomal family S4e', 'S4 domain', 'RS4NT (NUC023) domain', '40S ribosomal protein S4 C-terminus', 'Ribosomal proteins L26 eukaryotic, L24P archaeal']"
PF00468,Ribosomal protein L34,1,['YDR115W'],,,,,,,,,,
PF00472,RF-1 domain,3,"['YGL143C', 'YLR281C', 'YOL114C']",,,,['translation release factor activity'],"['mitochondrial translational termination', 'translational termination']",,,,,
PF00474,Sodium:solute symporter family,1,['YHL016C'],,,,,,,,,,
PF00475,Imidazoleglycerol-phosphate dehydratase,1,['YOR202W'],,,,,,,,,,
PF00476,DNA polymerase family A,1,['YOR330C'],,,,,,,,,,
PF00478,IMP dehydrogenase / GMP reductase domain,5,"['YAR073W', 'YAR075W', 'YHR216W', 'YLR432W', 'YML056C']",,,,['IMP dehydrogenase activity'],"['GMP biosynthetic process', 'GTP biosynthetic process', 'purine nucleotide biosynthetic process']",['de novo biosynthesis of purine nucleotides'],,"['MAG1', 'MAG2']",,['CBS domain']
PF00479,"Glucose-6-phosphate dehydrogenase, NAD binding domain",1,['YNL241C'],,,,,,,,,,
PF00481,Protein phosphatase 2C,7,"['YBL056W', 'YBR125C', 'YCR079W', 'YDL006W', 'YER089C', 'YJL005W', 'YOR090C']",,"['PTC2', 'PTC7', 'SLN1', 'PTC5', 'PTP2']",,"['MAP kinase threonine phosphatase activity', '[pyruvate dehydrogenase (lipoamide)] phosphatase activity', 'cation binding', 'hydrolase activity', 'metal ion binding', 'phosphatase activity', 'phosphoprotein phosphatase activity', 'protein serine phosphatase activity', 'protein serine/threonine phosphatase activity', 'protein threonine phosphatase activity']","['peptidyl-threonine dephosphorylation', 'positive regulation of pyruvate dehydrogenase activity', 'protein dephosphorylation']",,,,,
PF00483,Nucleotidyl transferase,2,"['YDL055C', 'YDR211W']",,,,,,,,,,['Bacterial transferase hexapeptide (six repeats)']
PF00484,Carbonic anhydrase,1,['YNL036W'],,,,,,,,,,
PF00485,Phosphoribulokinase / Uridine kinase family,3,"['YDR020C', 'YNL129W', 'YNR012W']",,,,"['ribosylnicotinamide kinase activity', 'uridine kinase activity']","['CTP salvage', 'UMP salvage', 'pyrimidine-containing compound salvage']",,,,,
PF00487,Fatty acid desaturase,1,['YGL055W'],,,,,,,,,,
PF00488,MutS domain V,6,"['YCR092C', 'YDL154W', 'YDR097C', 'YFL003C', 'YHR120W', 'YOL090W']",,,"['MutSalpha complex', 'MutSbeta complex', 'MutSgamma complex', 'mismatch repair complex', 'nuclear chromosome']","['ATP binding', 'D-loop DNA binding', 'DNA binding', 'DNA insertion or deletion binding', 'DNA-dependent ATPase activity', 'MutLalpha complex binding', 'Y-form DNA binding', 'double-strand/single-strand DNA junction binding', 'four-way junction DNA binding', 'guanine/thymine mispair binding', 'heteroduplex DNA loop binding', 'mismatched DNA binding', 'nucleotide binding', 'oxidized purine DNA binding', 'single base insertion or deletion binding', 'single thymine insertion binding']","['DNA repair', 'cellular response to DNA damage stimulus', 'interstrand cross-link repair', 'maintenance of DNA repeat elements', 'meiotic mismatch repair', 'mismatch repair', 'negative regulation of DNA recombination', 'reciprocal meiotic recombination', 'removal of nonhomologous ends', 'replication fork arrest']",,['chromosome/plasmid maintenance: increased'],"['MLH2', 'MLH1', 'PMS1']",,"['MutS domain I', 'MutS domain II', 'MutS family domain IV', 'MutS domain III']"
PF00490,Delta-aminolevulinic acid dehydratase,1,['YGL040C'],,,,,,,,,,
PF00491,Arginase family,1,['YPL111W'],,,,,,,,,,
PF00493,MCM P-loop domain,6,"['YBL023C', 'YBR202W', 'YEL032W', 'YGL201C', 'YLR274W', 'YPR019W']",,"['MCM2', 'MCM7', 'CDC7', 'DBF4', 'MCM3', 'MCM6', 'MCM10', 'MCM5', 'CTF18', 'ORC5', 'CHL1', 'MCM4']","['CMG complex', 'DNA replication preinitiation complex', 'MCM complex', 'MCM core complex', 'chromosome, telomeric region', 'nuclear pre-replicative complex', 'replication fork protection complex']","[""3'-5' DNA helicase activity"", 'ATP binding', 'DNA binding', 'DNA helicase activity', 'DNA replication origin binding', 'MCM complex binding', 'chromatin binding', 'four-way junction helicase activity', 'helicase activity', 'hydrolase activity', 'nucleotide binding', 'single-stranded DNA binding', 'single-stranded DNA-dependent ATP-dependent DNA helicase activity']","['DNA duplex unwinding', 'DNA replication', 'DNA replication initiation', 'DNA strand elongation involved in DNA replication', 'DNA unwinding involved in DNA replication', 'cell cycle', 'chromatin silencing at telomere', 'double-strand break repair via break-induced replication', 'mitotic DNA replication initiation', 'nuclear DNA replication', 'pre-replicative complex assembly involved in nuclear cell cycle DNA replication']",,"['cell cycle progression in S phase: arrested', 'cell cycle progression through the G1/S phase transition: arrested', 'inviable', 'mitotic recombination: increased', 'mutation frequency: increased']","['HTA2', 'MCM2', 'HHT1', 'MCM7', 'MRC1', 'CSM1', 'CDC7', 'SIR2', 'PSF1', 'DBF4', 'SLD5', 'MCM3', 'SLD3', 'MCM6', 'SPT16', 'YTA7', 'MCM10', 'PSF2', 'SPT10', 'CDC6', 'TAH11', 'SLD2', 'NOC3', 'CDC45', 'MCM5', 'MMS22', 'ORC1', 'POB3', 'CSM3', 'HHT2', 'POL1', 'IPI3', 'TOF1', 'PSF3', 'DIA2', 'MCM4', 'CTF4']",,"['MCM N-terminal domain', 'MCM OB domain', 'MCM AAA-lid domain']"
PF00494,Squalene/phytoene synthase,1,['YHR190W'],,,,,,,,,,
PF00498,FHA domain,15,"['YDL101C', 'YDR200C', 'YDR369C', 'YDR501W', 'YGL081W', 'YHR115C', 'YIL131C', 'YLR016C', 'YLR183C', 'YLR238W', 'YNL068C', 'YNL116W', 'YOR351C', 'YPL153C', 'YPR104C']",,"['PTC1', 'DUN1', 'ELM1', 'NDD1']",,,"['negative regulation of protein localization to spindle pole body', 'negative regulation of transcription involved in G2/M transition of mitotic cell cycle']",,,['SAE2'],,"['Forkhead domain', 'RING-like zinc finger']"
PF00501,AMP-binding enzyme,10,"['YAL054C', 'YBR041W', 'YBR115C', 'YBR222C', 'YER015W', 'YIL009W', 'YLR153C', 'YMR246W', 'YOR093C', 'YOR317W']",['Sjogren-Larsson syndrome'],['NMT1'],"['lipid particle', 'peroxisomal membrane']","['ATP binding', 'acetate-CoA ligase activity', 'acid-ammonia (or amide) ligase activity', 'ligase activity', 'long-chain fatty acid-CoA ligase activity', 'medium-chain fatty acid-CoA ligase activity', 'nucleotide binding', 'very long-chain fatty acid-CoA ligase activity']","['acetyl-CoA biosynthetic process', 'acetyl-CoA biosynthetic process from acetate', 'fatty acid metabolic process', 'long-chain fatty acid import', 'long-chain fatty acid metabolic process', 'long-chain fatty-acyl-CoA metabolic process', 'sphingoid long-chain base transport']","['acetate utilization', 'ethanol degradation', 'fatty acid oxidation pathway']",,,,"['AMP-binding enzyme C-terminal domain', 'Acetyl-coenzyme A synthetase N-terminus']"
PF00503,G-protein alpha subunit,2,"['YER020W', 'YHR005C']",,,['heterotrimeric G-protein complex'],"['G-protein beta/gamma-subunit complex binding', 'G-protein coupled receptor binding', 'guanyl nucleotide binding']",['G-protein coupled receptor signaling pathway'],,,['RGS2'],,
PF00505,HMG (high mobility group) box,7,"['YBR089C-A', 'YDL002C', 'YDR174W', 'YKL032C', 'YMR072W', 'YPR052C', 'YPR065W']",,"['RXT2', 'GLN3', 'IES3', 'GCR2', 'STB1']",,"['DNA binding', 'DNA binding, bending']",['maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase III promoter'],,,"['HTA2', 'ISW1', 'RSC8', 'VPS1', 'ORC1', 'MOT1', 'HPA2']",,
PF00510,Cytochrome c oxidase subunit III,1,['Q0275'],,,,,,,,,,
PF00512,His Kinase A (phospho-acceptor) domain,1,['YIL147C'],,,,,,,,,,
PF00514,Armadillo/beta-catenin-like repeat,2,"['YEL013W', 'YNL189W']",,,,,,,,,,
PF00515,Tetratricopeptide repeat,8,"['YBL084C', 'YBR112C', 'YBR155W', 'YDR244W', 'YHR117W', 'YJR032W', 'YNL121C', 'YOR027W']",,,,,['protein targeting to mitochondrion'],,,,,"['Tetratricopeptide repeat', 'Tetratricopeptide repeat']"
PF00520,Ion transport protein,1,['YGR217W'],,,,,,,,,,
PF00521,"DNA gyrase/topoisomerase IV, subunit A",1,['YNL088W'],,,,,,,,,,
PF00533,BRCA1 C Terminus (BRCT) domain,6,"['YDR217C', 'YHR154W', 'YJL090C', 'YLR330W', 'YMR277W', 'YOR217W']",,"['DOT1', 'SWI4', 'RAD24', 'MEC3', 'HST3', 'RAD17', 'YGL081W']",,,,,,,,
PF00534,Glycosyl transferases group 1,4,"['YBR110W', 'YGL065C', 'YNL048W', 'YPL175W']",,,['endoplasmic reticulum membrane'],"['transferase activity, transferring glycosyl groups']","['mannosylation', 'oligosaccharide-lipid intermediate biosynthetic process', 'protein glycosylation']",['lipid-linked oligosaccharide biosynthesis'],,['ALG1'],,
PF00535,Glycosyl transferase family 2,2,"['YPL227C', 'YPR183W']",,,,,,,,,,
PF00538,linker histone H1 and H5 family,1,['YPL127C'],,,,,,,,,,
PF00542,Ribosomal protein L7/L12 C-terminal domain,1,['YGL068W'],,,,,,,,,,
PF00549,CoA-ligase,2,"['YGR244C', 'YOR142W']",,,,"['succinate-CoA ligase (ADP-forming) activity', 'succinate-CoA ligase (GDP-forming) activity']",['succinyl-CoA metabolic process'],"['TCA cycle, aerobic respiration']",,,,
PF00550,Phosphopantetheine attachment site,2,"['YBR115C', 'YKL192C']",,,,,,,,,,
PF00551,Formyl transferase,2,"['YBL013W', 'YDR408C']",,,,"['hydroxymethyl-, formyl- and related transferase activity']",,,,,,
PF00557,Metallopeptidase family M24,7,"['YBL091C', 'YDR101C', 'YER078C', 'YFR006W', 'YGL207W', 'YLL029W', 'YLR244C']",,,,"['aminopeptidase activity', 'hydrolase activity', 'manganese ion binding', 'metal ion binding', 'metalloaminopeptidase activity', 'metallopeptidase activity', 'peptidase activity']","['protein initiator methionine removal', 'protein initiator methionine removal involved in protein maturation', 'proteolysis']",,,,,"['Aminopeptidase P, N-terminal domain']"
PF00560,Leucine Rich Repeat,2,"['YKL193C', 'YOR080W']",,,,,,,,,,
PF00561,alpha/beta hydrolase fold,14,"['YBR177C', 'YBR204C', 'YDR125C', 'YGR015C', 'YGR031W', 'YGR110W', 'YHR075C', 'YKL140W', 'YLR099C', 'YMR210W', 'YNL115C', 'YNL277W', 'YNR064C', 'YPL095C']",,,,"['acetylesterase activity', 'acylglycerol lipase activity', 'alcohol O-acetyltransferase activity', 'carboxylic ester hydrolase activity', 'hydrolase activity', 'lysophosphatidic acid acyltransferase activity', 'phospholipase A2 activity', 'serine hydrolase activity', 'short-chain carboxylesterase activity', 'transferase activity', 'transferase activity, transferring acyl groups', 'triglyceride lipase activity']","['cardiolipin acyl-chain remodeling', 'cellular lipid metabolic process', 'lipid homeostasis', 'medium-chain fatty acid biosynthetic process', 'medium-chain fatty acid catabolic process', 'phosphatidic acid biosynthetic process']",,,,,
PF00562,"RNA polymerase Rpb2, domain 6",3,"['YOR151C', 'YOR207C', 'YPR010C']",,['RPC10'],,"[""DNA-directed 5'-3' RNA polymerase activity"", 'nucleotidyltransferase activity', 'ribonucleoside binding']","['transcription, DNA-templated']",,,"['RPB5', 'YTA7', 'NPA3', 'RPB10', 'RPB8', 'RPO26']",,"['RNA polymerase Rpb2, domain 7', 'RNA polymerase Rpb2, domain 2', 'RNA polymerase beta subunit', 'RNA polymerase Rpb2, domain 3', 'RNA polymerase Rpb2, domain 4', 'RNA polymerase Rpb2, domain 5']"
PF00565,Staphylococcal nuclease homologue,1,['YGL085W'],,,,,,,,,,
PF00566,Rab-GTPase-TBC domain,9,"['YDL234C', 'YFL027C', 'YGR100W', 'YJL044C', 'YMR055C', 'YMR192W', 'YNL293W', 'YOL112W', 'YPL249C']",['Ewing sarcoma'],['CIC1'],"['Golgi-associated vesicle', 'cellular bud', 'cellular bud tip', 'incipient cellular bud site', 'polarisome']",['GTPase activator activity'],"['activation of GTPase activity', 'exocytosis', 'intracellular protein transport']",,,"['SEC4', 'YPT6']",,
PF00568,WH1 domain,1,['YOR181W'],,,,,,,,,,
PF00569,"Zinc finger, ZZ type",2,"['YDR448W', 'YFR037C']",,,,,,,,,,['Myb-like DNA-binding domain']
PF00571,CBS domain,9,"['YAR073W', 'YBR214W', 'YGL056C', 'YGL115W', 'YGR155W', 'YHR216W', 'YJR040W', 'YLR432W', 'YML056C']",,,['nucleotide-activated protein kinase complex'],"['AMP binding', 'IMP dehydrogenase activity', 'protein kinase binding', 'protein kinase regulator activity']","['GMP biosynthetic process', 'GTP biosynthetic process', 'cellular response to glucose starvation', 'purine nucleotide biosynthetic process']",['de novo biosynthesis of purine nucleotides'],,['MAG1'],,['IMP dehydrogenase / GMP reductase domain']
PF00572,Ribosomal protein L13,3,"['YIL133C', 'YNL069C', 'YOR150W']",,,,,['negative regulation of translation'],,,,,
PF00573,Ribosomal protein L4/L1 family,3,"['YBR031W', 'YDR012W', 'YML025C']",,,,,,,,,,['60S ribosomal protein L4 C-terminal domain']
PF00575,S1 RNA binding domain,4,"['YDR404C', 'YER013W', 'YJR007W', 'YMR229C']",,['MSM1'],,['nucleic acid binding'],,,,,,
PF00578,AhpC/TSA family,4,"['YBL064C', 'YDR453C', 'YIL010W', 'YML028W']",,"['GPX2', 'HYR1', 'GPX1', 'AHP1']",,"['antioxidant activity', 'oxidoreductase activity', 'peroxidase activity', 'peroxiredoxin activity', 'thioredoxin peroxidase activity']","['cell redox homeostasis', 'cellular oxidant detoxification', 'cellular response to oxidative stress']",,,,,['C-terminal domain of 1-Cys peroxiredoxin']
PF00579,tRNA synthetases class I (W and Y),4,"['YDR268W', 'YGR185C', 'YOL097C', 'YPL097W']",,,,"['aminoacyl-tRNA ligase activity', 'ligase activity', 'tryptophan-tRNA ligase activity', 'tyrosine-tRNA ligase activity']","['tRNA aminoacylation for protein translation', 'translation', 'tryptophanyl-tRNA aminoacylation', 'tyrosyl-tRNA aminoacylation']",,,,,
PF00580,UvrD/REP helicase N-terminal domain,1,['YJL092W'],,,,,,,,,,
PF00581,Rhodanese-like domain,10,"['YDR069C', 'YER075C', 'YER144C', 'YGR203W', 'YHR111W', 'YMR036C', 'YOR251C', 'YOR285W', 'YOR286W', 'YPR200C']",,,,"['protein tyrosine phosphatase activity', 'thiosulfate sulfurtransferase activity']",['peptidyl-tyrosine dephosphorylation'],,,,,
PF00583,Acetyltransferase (GNAT) family,13,"['YDR071C', 'YEL066W', 'YFL017C', 'YGR252W', 'YHR013C', 'YJL127C', 'YMR069W', 'YOR253W', 'YPL001W', 'YPL086C', 'YPR051W', 'YPR131C', 'YPR193C']",,"['SPT7', 'SPT20']",['NatA complex'],"['H4 histone acetyltransferase activity', 'N-acetyltransferase activity', 'histone acetyltransferase activity', 'peptide alpha-N-acetyltransferase activity', 'peptide-serine-N-acetyltransferase activity', 'transferase activity', 'transferase activity, transferring acyl groups']","['N-terminal protein amino acid acetylation', 'histone acetylation', 'protein acetylation']",,['protein/peptide modification: absent'],,,
PF00584,SecE/Sec61-gamma subunits of protein translocation complex,1,['YDR086C'],,,,,,,,,,
PF00585,C-terminal regulatory domain of Threonine dehydratase,1,['YER086W'],,,,,,,,,,
PF00586,"AIR synthase related protein, N-terminal domain",1,['YGL234W'],,,,,,,,,,
PF00587,"tRNA synthetase class II core domain (G, H, P, S and T)",7,"['YDR023W', 'YER087W', 'YHR011W', 'YHR020W', 'YIL078W', 'YKL194C', 'YPR081C']",,,,"['ATP binding', 'aminoacyl-tRNA ligase activity', 'ligase activity', 'nucleotide binding', 'proline-tRNA ligase activity', 'serine-tRNA ligase activity', 'threonine-tRNA ligase activity']","['prolyl-tRNA aminoacylation', 'selenocysteinyl-tRNA(Sec) biosynthetic process', 'seryl-tRNA aminoacylation', 'tRNA aminoacylation for protein translation', 'threonyl-tRNA aminoacylation', 'translation']",,,,,['Anticodon binding domain']
PF00588,SpoU rRNA Methylase family,2,"['YDL112W', 'YOR201C']",,,,['RNA methyltransferase activity'],,,,,,
PF00590,Tetrapyrrole (Corrin/Porphyrin) Methylases,2,"['YKR069W', 'YLR172C']",,,,,,,,,,
PF00591,"Glycosyl transferase family, a/b domain",1,['YDR354W'],,,,,,,,,,
PF00595,PDZ domain,2,"['YIL007C', 'YNL123W']",,,,,,,,,,
PF00596,Class II Aldolase and Adducin N-terminal domain,1,['YJR024C'],,,,,,,,,,
PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",4,"['YFL047W', 'YJR138W', 'YLR371W', 'YLR452C']",,,,['GTPase activator activity'],['intracellular signal transduction'],,,,,
PF00611,"Fes/CIP4, and EFC/F-BAR homology domain",3,"['YFL047W', 'YHR114W', 'YMR032W']",,,,,,,,,,
PF00612,IQ calmodulin-binding motif,2,"['YAL029C', 'YPL242C']",,,,,,,,,,
PF00613,"Phosphoinositide 3-kinase family, accessory domain (PIK domain)",2,"['YLR240W', 'YLR305C']",,,,['phosphatidylinositol kinase activity'],"['phosphatidylinositol phosphorylation', 'phosphatidylinositol-mediated signaling']",['phosphatidylinositol phosphate biosynthesis'],,,,['Phosphatidylinositol 3- and 4-kinase']
PF00614,Phospholipase D Active site motif,2,"['YCL004W', 'YKR031C']",,,,,,,,,,
PF00615,Regulator of G protein signaling domain,2,"['YLR452C', 'YOR107W']",,,,,,,['mating response: increased'],,,
PF00616,GTPase-activator protein for Ras-like GTPase,4,"['YBR140C', 'YKL092C', 'YOL081W', 'YPL242C']","['neurofibromatosis', 'neurofibromatosis 1']",,,['GTPase activator activity'],"['adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway', 'negative regulation of Ras protein signal transduction', 'regulation of GTPase activity', 'signal transduction']",,,,,
PF00617,RasGEF domain,4,"['YAL024C', 'YCR038C', 'YER155C', 'YLR310C']",,['GIC1'],,['guanyl-nucleotide exchange factor activity'],['small GTPase mediated signal transduction'],,"['budding: absent', 'heat sensitivity: decreased']",,,['RasGEF N-terminal motif']
PF00618,RasGEF N-terminal motif,3,"['YAL024C', 'YER155C', 'YLR310C']",,,,['guanyl-nucleotide exchange factor activity'],['small GTPase mediated signal transduction'],,"['budding: absent', 'heat sensitivity: decreased']",,,['RasGEF domain']
